"","actual","predicted"
"1",2,2
"2",2,2
"3",2,2
"4",2,2
"5",2,2
"6",2,2
"7",2,2
"8",2,2
"9",2,1
"10",2,2
"11",2,1
"12",2,1
"13",2,2
"14",2,2
"15",2,2
"16",2,1
"17",2,2
"18",2,2
"19",2,2
"20",2,2
"21",2,2
"22",2,1
"23",2,2
"24",2,2
"25",2,2
"26",2,2
"27",2,2
"28",2,1
"29",2,2
"30",2,2
"31",2,2
"32",2,2
"33",2,2
"34",2,1
"35",2,1
"36",2,1
"37",2,2
"38",2,2
"39",2,2
"40",2,2
"41",2,2
"42",2,2
"43",2,2
"44",2,2
"45",2,2
"46",2,2
"47",2,2
"48",2,2
"49",2,2
"50",2,2
"51",2,2
"52",2,2
"53",2,2
"54",2,2
"55",2,2
"56",2,2
"57",2,2
"58",2,2
"59",2,2
"60",2,2
"61",2,2
"62",2,2
"63",2,2
"64",2,2
"65",2,2
"66",2,2
"67",2,1
"68",2,2
"69",2,2
"70",2,2
"71",2,2
"72",2,2
"73",2,2
"74",2,2
"75",2,2
"76",2,2
"77",2,2
"78",2,2
"79",2,2
"80",2,2
"81",2,2
"82",2,2
"83",2,2
"84",2,2
"85",2,2
"86",2,2
"87",2,2
"88",2,1
"89",2,2
"90",2,2
"91",2,2
"92",2,2
"93",2,1
"94",2,2
"95",2,2
"96",2,2
"97",2,2
"98",2,2
"99",2,2
"100",2,2
"101",2,2
"102",2,2
"103",2,2
"104",2,2
"105",2,1
"106",2,2
"107",2,2
"108",2,2
"109",2,2
"110",2,2
"111",2,2
"112",2,2
"113",2,1
"114",2,2
"115",2,2
"116",2,2
"117",2,2
"118",2,2
"119",2,2
"120",2,2
"121",2,2
"122",2,2
"123",2,2
"124",2,1
"125",2,2
"126",2,2
"127",2,2
"128",2,2
"129",2,2
"130",2,2
"131",2,1
"132",2,2
"133",2,2
"134",2,2
"135",2,2
"136",2,2
"137",2,1
"138",2,2
"139",2,2
"140",2,2
"141",2,2
"142",2,2
"143",2,1
"144",2,2
"145",2,2
"146",2,2
"147",2,2
"148",2,2
"149",2,2
"150",2,2
"151",2,2
"152",2,2
"153",2,2
"154",2,2
"155",2,2
"156",2,1
"157",2,2
"158",2,2
"159",2,2
"160",2,2
"161",2,1
"162",2,2
"163",2,1
"164",2,2
"165",2,2
"166",2,2
"167",2,2
