"Wife_age","Wife_education","Husband_education","Number_children_born","Wife_religion","Wife_working","Husband_occupation","Standard_living_index","Media_exposure","Contraceptive_used"
9,"2","3",4,01,01,"2","3",01,"1"
30,"1","3",11,01,01,"3","4",01,"1"
28,"2","3",8,01,01,"3","4",01,"1"
27,"3","2",10,01,01,"3","3",01,"1"
21,"3","3",9,01,01,"3","2",01,"1"
4,"4","4",1,01,01,"3","3",01,"1"
23,"2","3",7,01,01,"3","2",01,"1"
6,"3","3",2,01,01,"3","2",01,"1"
12,"2","3",4,01,01,"3","4",01,"1"
30,"1","1",9,01,01,"2","2",01,"1"
23,"1","3",3,01,01,"3","3",01,"1"
27,"1","4",5,01,01,"1","3",01,"1"
29,"4","4",2,01,01,"1","4",01,"1"
27,"2","4",2,01,01,"3","3",01,"1"
23,"3","4",3,01,01,"2","3",01,"1"
11,"2","4",1,01,01,"4","1",01,"1"
33,"1","1",8,01,01,"2","4",01,"1"
24,"2","2",7,01,01,"2","4",01,"1"
22,"2","2",9,01,01,"2","3",01,"1"
24,"2","1",6,01,01,"2","1",01,"1"
11,"3","4",2,01,01,"4","1",01,"1"
9,"3","4",1,01,01,"3","1",01,"1"
31,"4","4",2,01,01,"1","4",01,"1"
24,"4","4",2,01,01,"1","4",01,"1"
33,"4","4",6,01,01,"1","4",01,"1"
25,"2","4",9,01,01,"3","3",01,"1"
23,"4","4",2,01,01,"1","4",01,"1"
14,"4","4",1,01,01,"1","4",01,"1"
9,"4","4",1,01,01,"2","2",01,"1"
28,"1","2",9,01,01,"2","4",01,"1"
16,"3","4",3,01,01,"1","4",01,"1"
16,"4","4",3,01,01,"3","2",01,"1"
11,"2","4",1,01,01,"1","2",01,"1"
18,"2","2",3,01,01,"3","1",01,"1"
9,"2","3",2,01,01,"3","3",01,"1"
27,"1","3",10,01,01,"3","2",01,"1"
28,"1","2",9,01,01,"3","1",01,"1"
10,"3","3",5,01,01,"3","2",01,"1"
27,"2","2",4,01,01,"3","4",01,"1"
13,"2","2",2,01,01,"2","4",01,"1"
13,"1","1",4,01,01,"3","1",01,"1"
32,"2","3",1,01,01,"1","3",01,"1"
33,"2","4",3,01,01,"1","3",01,"1"
25,"4","4",3,01,01,"1","4",01,"1"
13,"2","2",2,01,01,"3","2",01,"1"
10,"1","4",2,01,01,"2","1",01,"1"
17,"4","4",3,01,01,"2","3",01,"1"
30,"4","4",1,01,01,"2","4",01,"1"
11,"4","4",2,01,01,"1","4",01,"1"
11,"4","4",1,01,01,"1","4",01,"1"
16,"4","4",1,01,01,"1","4",01,"1"
34,"4","4",8,01,01,"2","4",01,"1"
25,"3","4",9,01,01,"3","3",01,"1"
19,"4","4",2,01,01,"2","3",01,"1"
21,"2","4",6,01,01,"2","3",01,"1"
5,"2","2",3,01,01,"2","2",01,"1"
28,"4","4",6,01,01,"1","4",01,"1"
22,"3","4",8,01,01,"2","1",01,"1"
6,"2","3",1,01,01,"3","4",01,"1"
34,"4","4",7,01,01,"1","2",01,"1"
27,"3","3",11,01,01,"3","3",01,"1"
5,"2","3",2,01,01,"2","3",01,"1"
32,"1","2",3,01,01,"1","3",01,"1"
7,"2","3",2,01,01,"2","1",01,"1"
12,"2","4",2,01,01,"1","3",01,"1"
9,"2","4",2,01,01,"3","1",01,"1"
29,"4","2",9,01,01,"3","3",01,"1"
15,"2","3",4,01,01,"3","1",01,"1"
8,"3","4",3,01,01,"3","4",01,"1"
10,"4","4",2,01,01,"3","3",01,"1"
32,"2","3",5,01,01,"2","3",01,"1"
33,"2","3",9,01,01,"1","4",01,"1"
14,"2","3",2,01,01,"1","1",01,"1"
14,"2","3",2,01,01,"1","2",01,"1"
6,"3","4",1,01,01,"2","3",01,"1"
6,"3","4",2,01,01,"2","3",01,"1"
14,"4","4",1,01,01,"2","4",01,"1"
30,"3","4",4,01,01,"1","4",01,"1"
18,"2","3",3,01,01,"3","2",01,"1"
23,"4","4",2,01,01,"1","4",01,"1"
9,"4","4",1,01,01,"1","4",01,"1"
34,"4","4",7,01,01,"1","4",01,"1"
9,"2","4",2,01,01,"4","4",01,"1"
13,"4","4",1,01,01,"1","4",01,"1"
15,"4","4",3,01,01,"1","4",01,"1"
18,"4","4",3,01,01,"1","4",01,"1"
10,"4","4",2,01,01,"1","3",01,"1"
20,"4","4",4,01,01,"1","4",01,"1"
12,"2","4",5,01,01,"1","4",01,"1"
9,"2","2",4,01,01,"2","1",01,"1"
10,"2","3",1,01,01,"2","1",01,"1"
31,"2","4",7,01,01,"1","4",01,"1"
11,"2","2",4,01,01,"2","1",01,"1"
23,"2","2",2,01,01,"3","2",01,"1"
32,"1","2",4,01,01,"1","3",01,"1"
26,"1","3",11,01,01,"2","3",01,"1"
26,"2","3",2,01,01,"2","3",01,"1"
13,"4","4",6,01,01,"2","1",01,"1"
2,"2","2",4,01,01,"3","1",01,"1"
12,"2","3",6,01,01,"2","1",01,"1"
12,"1","2",5,01,01,"3","1",01,"1"
4,"2","3",1,01,01,"2","2",01,"1"
12,"2","4",4,01,01,"3","2",01,"1"
11,"4","3",5,01,01,"2","3",01,"1"
8,"2","4",3,01,01,"3","3",01,"1"
25,"3","3",4,01,01,"3","2",01,"1"
7,"4","4",1,01,01,"1","1",01,"1"
29,"3","4",5,01,01,"1","3",01,"1"
14,"2","3",3,01,01,"3","1",01,"1"
11,"2","3",4,01,01,"3","1",01,"1"
30,"4","4",2,01,01,"3","3",01,"1"
17,"3","3",8,01,01,"2","3",01,"1"
6,"4","4",2,01,01,"1","4",01,"1"
16,"2","2",5,01,01,"3","3",01,"1"
6,"3","4",1,01,01,"1","3",01,"1"
22,"4","4",2,01,01,"1","4",01,"1"
19,"4","4",4,01,01,"3","3",01,"1"
29,"3","4",2,01,01,"1","3",01,"1"
34,"4","3",6,01,01,"2","3",01,"1"
11,"2","3",3,01,01,"3","3",01,"1"
23,"1","2",2,01,01,"2","4",01,"1"
21,"2","3",6,01,01,"2","3",01,"1"
11,"3","4",3,01,01,"3","3",01,"1"
5,"2","3",2,01,01,"3","2",01,"1"
29,"2","1",4,01,01,"3","2",01,"1"
16,"3","4",3,01,01,"1","2",01,"1"
30,"4","4",2,01,01,"1","3",01,"1"
21,"2","3",3,01,01,"3","2",01,"1"
28,"1","3",3,01,01,"2","2",01,"1"
10,"3","4",1,01,01,"1","3",01,"1"
33,"3","4",4,01,01,"3","1",01,"1"
15,"4","4",1,01,01,"1","3",01,"1"
33,"1","2",9,01,01,"3","1",01,"1"
